feature,importance,coefficient
diff_win_percentage,0.2999629089115554,0.2999629089115554
diff_conf_strength,0.12111898526535689,0.12111898526535689
home_conf_depth,0.03219189291074741,0.03219189291074741
away_win_percentage,0.032169546752605103,0.032169546752605103
home_fg_pct,0.029420538048260676,0.029420538048260676
diff_home_wins,0.0276885139565518,0.0276885139565518
diff_ft_pct,0.02728888388217184,0.02728888388217184
home_conf_pace,0.024029492123503644,0.024029492123503644
away_fg_pct,0.023665824600523744,0.023665824600523744
diff_fg_pct,0.02166619883771452,0.02166619883771452
away_conf_strength,0.0202880845345771,0.0202880845345771
home_ft_pct,0.019629202395253897,0.019629202395253897
diff_fg3_pct,0.019282512169291426,0.019282512169291426
home_fg3_pct,0.018391819514624347,0.018391819514624347
diff_away_losses,0.01824712259748568,0.01824712259748568
away_conf_depth,0.017969246155346688,0.017969246155346688
home_away_losses,0.01750155305690855,0.01750155305690855
home_conf_strength,0.016807177152922383,0.016807177152922383
home_win_percentage,0.016132583596128493,0.016132583596128493
diff_conference_win_percentage,0.015648716249034154,0.015648716249034154
away_away_losses,0.013138682468858472,0.013138682468858472
away_conf_pace,0.013063667309095698,0.013063667309095698
away_ft_pct,0.012897111862961788,0.012897111862961788
away_fg3_pct,0.011748986133759012,0.011748986133759012
diff_conf_depth,0.010723220984454086,0.010723220984454086
home_home_wins,0.010671491946182046,0.010671491946182046
diff_ap_rank,0.010101775939345236,0.010101775939345236
diff_conf_pace,0.009008377535871057,0.009008377535871057
diff_playoff_seed,0.007587465024112463,0.007587465024112463
home_ap_rank,0.006602339558584114,0.006602339558584114
diff_coach_rank,0.006228729835425307,0.006228729835425307
home_home_losses,0.0060647452366630545,0.0060647452366630545
away_conference_win_percentage,0.006007202494614816,0.006007202494614816
home_conference_win_percentage,0.0055114326429669775,0.0055114326429669775
away_home_wins,0.005181716851105655,0.005181716851105655
away_away_wins,0.004933145088455648,0.004933145088455648
diff_away_wins,0.0042196647697011706,0.0042196647697011706
home_away_wins,0.0042171343070779715,0.0042171343070779715
home_playoff_seed,0.003650790994739968,0.003650790994739968
diff_conference_losses,0.0032215824039544235,0.0032215824039544235
diff_conference_wins,0.003126792260966638,0.003126792260966638
away_conference_losses,0.0028905698053396695,0.0028905698053396695
diff_home_losses,0.0027953794981956477,0.0027953794981956477
home_coach_rank,0.0027536365477082068,0.0027536365477082068
away_conference_wins,0.002598786916533069,0.002598786916533069
away_home_losses,0.0024928951319477637,0.0024928951319477637
away_playoff_seed,0.002431118873019544,0.002431118873019544
home_conference_wins,0.0021466945400688514,0.0021466945400688514
away_ap_rank,0.0020280541259976104,0.0020280541259976104
home_conference_losses,0.0018756012379614084,0.0018756012379614084
away_coach_rank,0.0006008401970143662,0.0006008401970143662
diff_is_ranked,0.00037956476675429465,0.00037956476675429465
home_is_ranked,0.0,0.0
away_is_ranked,0.0,0.0
